"sp1","sp2","Cs"
"Callithrix geoff","Sapajus robus",0.939
"Aotus miconax","Lagothrix flavi",0.877
"Ateles paniscus","Saguinus midas",0.851
"Chirop satanas","Saguinus ursulus",0.809
"Alouatta maccon","Chirop chirop",0.775
"Plec caligatus","Saguinus rufiv",0.742
"Ateles f rufiv","Cebus capucinus",0.728
"Alouatta p pal","Cebus imitator",0.718
"Leonto melanol","Pith vanzol",0.71
"Cebus kaapori","Chirop satanas",0.697
"Alouatta p trab","Ateles g azu",0.696
"Cebus kaapori","Saguinus ursulus",0.583
"Ateles paniscus","Chirop chirop",0.543
"Alouatta maccon","Ateles paniscus",0.515
"Alouatta maccon","Saguinus midas",0.488
"Chirop chirop","Saguinus midas",0.471
