"name","no_overlap","Ct0.9","components0.9","Ct0.85","components0.85","Ct0.8","components0.8","Ct0.75","components0.75","Ct0.7","components0.7","Ct0.65","components0.65","Ct0.6","components0.6","Ct0.55","components0.55","Ct0.5","components0.5","Ct0.45","components0.45","Ct0.4","components0.4","Ct0.35","components0.35","Ct0.3","components0.3","Ct0.25","components0.25","Ct0.2","components0.2"
"Callithrix geoff",NA,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,2,TRUE,2,TRUE,2,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3
"Aotus miconax",NA,NA,NA,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,3,TRUE,3,TRUE,3,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4
"Ateles paniscus",NA,NA,NA,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,4,TRUE,4,TRUE,4,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1
"Chirop satanas",NA,NA,NA,NA,NA,TRUE,4,TRUE,4,TRUE,4,TRUE,1,TRUE,1,TRUE,1,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2
"Alouatta maccon",NA,NA,NA,NA,NA,NA,NA,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1
"Plec caligatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5
"Ateles f rufiv",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6
"Alouatta p pal",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7
"Leonto melanol",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8
"Cebus kaapori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,1,TRUE,1,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2
"Alouatta p trab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,10,TRUE,10,TRUE,10,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9
"Chirop chirop",NA,NA,NA,NA,NA,NA,NA,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1
"Sapajus robus",NA,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,2,TRUE,2,TRUE,2,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,3
"Lagothrix flavi",NA,NA,NA,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,3,TRUE,3,TRUE,3,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4,TRUE,4
"Saguinus midas",NA,NA,NA,TRUE,3,TRUE,3,TRUE,3,TRUE,3,TRUE,4,TRUE,4,TRUE,4,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1
"Saguinus ursulus",NA,NA,NA,NA,NA,TRUE,4,TRUE,4,TRUE,4,TRUE,1,TRUE,1,TRUE,1,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2,TRUE,2
"Saguinus rufiv",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5,TRUE,5
"Cebus capucinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6,TRUE,6
"Cebus imitator",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7,TRUE,7
"Pith vanzol",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8,TRUE,8
"Ateles g azu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,10,TRUE,10,TRUE,10,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9,TRUE,9
